time2	zEm3
3725.26	-42.5594
3725.26	-42.4739
3725.26	-42.26
3725.26	-42.3028
3725.26	-42.3916
3725.26	-42.3028
3725.26	-41.9441
3725.26	-41.8191
3725.26	-42.056
3725.27	-41.9737
3725.27	-42.0198
3725.27	-42.158
3725.27	-42.2403
3725.27	-42.2435
3725.27	-42.2304
3725.27	-42.464
3725.27	-42.6812
3725.27	-42.8029
3725.27	-42.6187
3725.28	-42.543
3725.28	-42.4509
3725.28	-42.4509
3725.28	-42.4212
3725.28	-42.3554
3725.28	-42.5463
3725.28	-42.5792
3725.28	-42.3982
3725.28	-42.6779
3725.28	-42.5529
3725.29	-42.7404
3725.29	-42.9346
3725.29	-42.8589
3725.29	-43.0859
3725.29	-43.1386
3725.29	-43.2768
3725.29	-42.9741
3725.29	-42.8852
3725.29	-42.8885
3725.29	-42.8359
3725.3	-43.0333
3725.3	-43.1518
3725.3	-43.1879
3725.3	-43.1682
3725.3	-42.9708
3725.3	-43.2044
3725.3	-43.4512
3725.3	-43.517
3725.3	-43.5598
3725.3	-43.7704
3725.31	-43.6091
3725.31	-43.4973
3725.31	-43.5499
3725.31	-43.415
3725.31	-43.4841
3725.31	-43.2735
3725.31	-43.1452
3725.31	-43.3031
3725.31	-43.3064
3725.31	-43.2077
3725.32	-43.2241
3725.32	-43.2209
3725.32	-43.3788
3725.32	-43.5302
3725.32	-43.8132
3725.32	-43.8527
3725.32	-43.7342
3725.32	-43.7901
3725.32	-43.9218
3725.32	-43.7375
3725.33	-43.6453
3725.33	-43.6684
3725.33	-43.5927
3725.33	-43.4742
3725.33	-43.573
3725.33	-43.5565
3725.33	-43.4479
3725.33	-43.3097
3725.33	-43.7243
3725.33	-43.8197
3725.34	-43.9218
3725.34	-43.8494
3725.34	-43.7934
3725.34	-43.8823
3725.34	-43.9382
3725.34	-43.8296
3725.34	-43.8033
3725.34	-43.6256
3725.34	-43.6815
3725.34	-43.6914
3725.35	-43.5499
3725.35	-43.6421
3725.35	-43.5631
3725.35	-43.5598
3725.35	-43.5664
3725.35	-43.7375
3725.35	-43.8197
3725.35	-43.8592
3725.35	-44.1817
3725.35	-44.4186
3725.36	-44.4285
3725.36	-44.5667
3725.36	-44.4845
3725.36	-44.2442
3725.36	-44.2673
3725.36	-44.2903
3725.36	-44.3331
3725.36	-44.2706
3725.36	-44.2146
3725.36	-44.2607
3725.37	-44.3035
3725.37	-44.4877
3725.37	-44.5206
3725.37	-44.6885
3725.37	-44.5536
3725.37	-44.6654
3725.37	-44.8069
3725.37	-44.7312
3725.37	-44.8958
3725.37	-44.9056
3725.38	-44.6951
3725.38	-44.6589
3725.38	-44.5075
3725.38	-44.3364
3725.38	-44.2409
3725.38	-44.0929
3725.38	-44.1718
3725.38	-43.8658
3725.38	-44.0665
3725.38	-44.3002
3725.39	-44.2574
3725.39	-44.2706
3725.39	-44.4055
3725.39	-44.4186
3725.39	-44.5239
3725.39	-44.5009
3725.39	-44.4318
3725.39	-44.4614
3725.39	-44.3397
3725.39	-44.2739
3725.4	-44.0929
3725.4	-44.1225
3725.4	-44.0665
3725.4	-44.2047
3725.4	-43.8296
3725.4	-43.6947
3725.4	-43.8428
3725.4	-43.9086
3725.4	-44.0731
3725.4	-44.2475
3725.41	-44.1982
3725.41	-44.3068
3725.41	-44.4614
3725.41	-44.3364
3725.41	-44.1225
3725.41	-44.3364
3725.41	-44.2475
3725.41	-44.2508
3725.41	-44.2344
3725.41	-44.3397
3725.42	-44.3594
3725.42	-44.5503
3725.42	-44.4877
3725.42	-44.7115
3725.42	-44.9879
3725.42	-45.0471
3725.42	-45.0932
3725.42	-45.1426
3725.42	-45.0603
3725.42	-44.8793
3725.43	-44.7345
3725.43	-44.6095
3725.43	-44.5832
3725.43	-44.5206
3725.43	-44.5272
3725.43	-44.5404
3725.43	-44.6951
3725.43	-44.6457
3725.43	-44.7609
3725.43	-44.9089
3725.44	-44.9912
3725.44	-45.057
3725.44	-45.3038
3725.44	-45.498
3725.44	-45.6066
3725.44	-45.6592
3725.44	-45.4552
3725.44	-45.3499
3725.44	-45.2183
3725.44	-45.1886
3725.45	-45.2446
3725.45	-45.317
3725.45	-45.3992
3725.45	-45.2018
3725.45	-45.2117
3725.45	-45.4091
3725.45	-45.2413
3725.45	-45.3071
3725.45	-45.3104
3725.45	-45.363
3725.46	-45.4354
3725.46	-45.2413
3725.46	-45.2117
3725.46	-44.9122
3725.46	-44.8102
3725.46	-44.7016
3725.46	-44.7872
3725.46	-44.7971
3725.46	-44.8135
3725.46	-44.8234
3725.47	-44.7971
3725.47	-44.8398
3725.47	-44.8925
3725.47	-44.9287
3725.47	-45.0373
3725.47	-45.0406
3725.47	-45.2643
3725.47	-45.3927
3725.47	-45.5144
3725.47	-45.4683
3725.48	-45.3071
3725.48	-45.2545
3725.48	-45.4651
3725.48	-45.2907
3725.48	-45.1327
3725.48	-45.2018
3725.48	-45.1064
3725.48	-44.8859
3725.48	-45.2215
3725.48	-45.2808
3725.49	-45.3992
3725.49	-45.3268
3725.49	-45.3992
3725.49	-45.3762
3725.49	-45.5243
3725.49	-45.5572
3725.49	-45.3598
3725.49	-45.2972
3725.49	-45.1919
3725.49	-45.1557
3725.5	-44.9813
3725.5	-44.8727
3725.5	-45.1294
3725.5	-45.0965
3725.5	-45.0142
3725.5	-45.1656
3725.5	-45.1919
3725.5	-45.2972
3725.5	-45.4058
3725.5	-45.4651
3725.51	-45.5934
3725.51	-45.5342
3725.51	-45.5407
3725.51	-45.4552
3725.51	-45.3565
3725.51	-45.2248
3725.51	-45.2479
3725.51	-45.2281
3725.51	-45.3367
3725.51	-45.3236
3725.52	-45.2972
3725.52	-45.1755
3725.52	-45.238
3725.52	-45.3038
3725.52	-45.3927
3725.52	-45.4651
3725.52	-45.7053
3725.52	-45.4749
3725.52	-45.5671
3725.52	-45.4585
3725.53	-45.3696
3725.53	-45.4683
3725.53	-45.6
3725.53	-45.4486
3725.53	-45.4354
3725.53	-45.3005
3725.53	-45.3236
3725.53	-45.4552
3725.53	-45.6197
3725.53	-45.6098
3725.54	-45.7908
3725.54	-45.9093
3725.54	-46.0607
3725.54	-46.1265
3725.54	-46.1166
3725.54	-46.1627
3725.54	-45.8468
3725.54	-45.7711
3725.54	-45.6691
3725.54	-45.6164
3725.55	-45.8204
3725.55	-45.6757
3725.55	-45.5802
3725.55	-45.6493
3725.55	-45.5736
3725.55	-45.6954
3725.55	-45.725
3725.55	-45.8797
3725.55	-45.8961
3725.55	-46.0804
3725.56	-46.0771
3725.56	-45.9257
3725.56	-45.9948
3725.56	-45.8435
3725.56	-45.6888
3725.56	-45.7283
