'time 1'	em1
3622.92	-33.1055
3622.92	-33.1286
3622.92	-32.8653
3622.92	-32.9278
3622.92	-33.0726
3622.93	-32.9607
3622.93	-32.9937
3622.93	-33.2865
3622.93	-33.3951
3622.93	-33.247
3622.93	-33.4346
3622.93	-33.1549
3622.93	-32.964
3622.93	-32.9213
3622.93	-32.8719
3622.94	-32.8587
3622.94	-32.7765
3622.94	-32.8094
3622.94	-32.7732
3622.94	-32.5856
3622.94	-32.8258
3622.94	-32.9838
3622.94	-32.9443
3622.94	-32.839
3622.94	-32.7995
3622.95	-32.839
3622.95	-32.7074
3622.95	-32.6975
3622.95	-32.5165
3622.95	-32.5889
3622.95	-32.5626
3622.95	-32.556
3622.95	-32.3981
3622.95	-32.3619
3622.95	-32.3092
3622.96	-32.4672
3622.96	-32.4902
3622.96	-32.7304
3622.96	-32.7304
3622.96	-32.533
3622.96	-32.6514
3622.96	-32.7304
3622.96	-32.7502
3622.96	-32.737
3622.96	-32.7567
3622.97	-32.7403
3622.97	-32.9048
3622.97	-32.9443
3622.97	-33.02
3622.97	-32.8291
3622.97	-32.8258
3622.97	-32.7337
3622.97	-32.3849
3622.97	-32.3652
3622.97	-32.6514
3622.98	-32.6745
3622.98	-32.8193
3622.98	-33.0562
3622.98	-33.02
3622.98	-32.8818
3622.98	-33.0002
3622.98	-32.8324
3622.98	-32.6218
3622.98	-32.5428
3622.98	-32.4704
3622.99	-32.4968
3622.99	-32.4704
3622.99	-32.5231
3622.99	-32.4869
3622.99	-32.1546
3622.99	-32.5099
3622.99	-32.5922
3622.99	-32.6679
3622.99	-32.8193
3622.99	-33.0266
3623	-33.1779
3623	-33.0167
3623	-32.8587
3623	-32.6547
3623	-32.5725
3623	-32.6218
3623	-32.5198
3623	-32.3158
3623	-32.3421
3623	-32.375
3623.01	-32.3487
3623.01	-32.3191
3623.01	-32.4375
3623.01	-32.5231
3623.01	-32.5823
3623.01	-32.7238
3623.01	-32.7502
3623.01	-32.7337
3623.01	-32.7041
