time1	em2
8460.938	-25.399
8460.939	-25.4483
8460.940	-25.343
8460.941	-25.2476
8460.942	-25.06
8460.943	-25.1061
8460.944	-25.0962
8460.945	-25.0403
8460.946	-24.8231
8460.947	-24.6158
8460.948	-24.8099
8460.949	-24.9712
8460.950	-25.1555
8460.951	-25.1949
8460.952	-25.4549
8460.953	-25.6655
8460.954	-25.4911
8460.955	-25.7379
8460.956	-25.6754
8460.957	-25.5174
8460.958	-25.32
8460.959	-25.3002
8460.960	-25.3529
8460.961	-25.2311
8460.962	-25.2278
8460.963	-25.139
8460.964	-24.8988
8460.965	-25.1225
8460.966	-25.1522
8460.967	-25.241
8460.968	-25.5668
8460.969	-25.7872
8460.970	-25.7247
8460.971	-25.7971
8460.972	-25.9649
8460.973	-26.0209
8460.974	-25.9452
8460.975	-26.0077
8460.976	-26.1788
8460.977	-26.2907
8460.978	-26.2841
8460.979	-26.4256
8460.980	-26.1722
8460.981	-25.9057
8460.982	-26.2644
8460.983	-26.5671
8460.984	-26.7876
8460.985	-26.9752
8460.986	-27.1496
8460.987	-27.2647
8460.988	-27.4622
8460.989	-27.6859
8460.990	-27.347
8460.991	-27.2779
8460.992	-27.2812
8460.993	-27.1397
8460.994	-27.1265
8460.995	-27.0179
8460.996	-26.9488
8460.997	-26.7514
8460.998	-26.8271
8460.999	-26.883
8461.000	-27.0903
8461.001	-27.3141
8461.002	-27.6267
8461.003	-28.0084
8461.004	-28.0051
8461.005	-28.3375
8461.006	-28.3309
8461.007	-28.2157
8461.008	-28.1795
8461.009	-28.0907
8461.010	-27.9163
8461.011	-27.6892
8461.012	-27.6958
8461.013	-27.6102
8461.014	-27.5082
8461.015	-27.9196
8461.016	-27.9492
8461.017	-28.0183
8461.018	-28.2091
8461.019	-28.6402
8461.020	-28.6665
8461.021	-28.7488
8461.022	-28.6764
8461.023	-28.4625
8461.024	-28.321
8461.025	-28.1729
8461.026	-28.061
8461.027	-27.9623
8461.028	-27.7912
8461.029	-28.0347
8461.030	-28.1466
8461.031	-28.0281
8461.032	-28.3769
8461.033	-28.4131
8461.034	-28.7455
8461.035	-28.8179
8461.036	-28.8278
8461.037	-28.6599
8461.038	-28.808
8461.039	-28.7159
8461.040	-28.5349
8461.041	-28.2947
8461.042	-28.4329
8461.043	-28.4
8461.044	-28.3605
8461.045	-28.2716
8461.046	-28.3276
8461.047	-28.1466
8461.048	-28.2782
8461.049	-28.4066
8461.050	-28.6501
8461.051	-28.8146
8461.052	-29.0778
8461.053	-29.3345
8461.054	-29.2522
8461.055	-29.4102
8461.056	-29.4694
8461.057	-29.1996
8461.058	-29.3115
8461.059	-29.1075
8461.060	-28.8541
8461.061	-28.5053
8461.062	-28.7027
8461.063	-28.6336
8461.064	-28.4691
8461.065	-28.8113
8461.066	-29.0285
8461.067	-29.091
8461.068	-29.1502
8461.069	-29.3773
8461.070	-29.6998
8461.071	-29.7458
8461.072	-29.884
8461.073	-29.7952
8461.074	-29.8248
8461.075	-29.6076
8461.076	-29.6372
8461.077	-29.6405
8461.078	-29.5747
8461.079	-29.657
8461.080	-29.6767
8461.081	-29.6537
8461.082	-29.7261
8461.083	-29.8873
8461.084	-29.8478
8461.085	-29.8215
8461.086	-29.8906
8461.087	-29.8314
8461.088	-29.9466
8461.089	-29.9597
8461.090	-29.8248
8461.091	-29.7952
8461.092	-29.8511
8461.093	-29.7919
8461.094	-29.6899
8461.095	-29.5649
8461.096	-29.4957
8461.097	-29.3411
8461.098	-29.6109
8461.099	-29.6932
8461.100	-29.7195
8461.101	-29.8084
8461.102	-30.0453
8461.103	-30.4895
8461.104	-30.5191
8461.105	-30.6507
8461.106	-30.5323
8461.107	-30.3217
8461.108	-30.2065
8461.109	-30.2789
8461.110	-30.2954
8461.111	-30.144
8461.112	-30.0288
8461.113	-29.7228
8461.114	-29.4299
8461.115	-29.8149
8461.116	-29.9038
8461.117	-30.0222
8461.118	-30.1177
8461.119	-30.1637
8461.120	-30.1637
8461.121	-30.4566
8461.122	-30.6869
8461.123	-30.4994
8461.124	-30.2888
8461.125	-30.1736
8461.126	-30.0782
8461.127	-30.0255
8461.128	-29.9433
8461.129	-29.8742
8461.130	-29.6405
8461.131	-29.4826
8461.132	-29.6669
8461.133	-29.861
8461.134	-29.8939
8461.135	-30.0946
8461.136	-30.3513
8461.137	-30.4138
8461.138	-30.3941
8461.139	-30.3743
8461.140	-30.1539
8461.141	-30.0584
8461.142	-30.0749
8461.143	-29.6866
8461.144	-29.555
8461.145	-29.5451
8461.146	-29.5846
8461.147	-29.4793
8461.148	-29.601
8461.149	-29.7524
8461.150	-29.963
8461.151	-29.9893
8461.152	-30.2032
8461.153	-30.3316
8461.154	-30.3283
8461.155	-30.3612
8461.156	-30.1275
8461.157	-29.8676
8461.158	-29.8084
8461.159	-29.8051
8461.160	-29.8347
8461.161	-29.8577
8461.162	-29.9795
8461.163	-29.9301
8461.164	-29.6998
8461.165	-29.8906
8461.166	-30.3184
8461.167	-30.4895
8461.168	-30.5981
8461.169	-30.8515
8461.170	-30.7297
8461.171	-30.7429
8461.172	-30.7955
8461.173	-30.5981
8461.174	-30.3743
8461.175	-30.2625
8461.176	-30.1868
8461.177	-30.1999
8461.178	-30.1078
8461.179	-30.2328
8461.180	-30.1275
8461.181	-30.2625
8461.182	-30.4895
8461.183	-30.5685
8461.184	-30.5224
8461.185	-30.7495
8461.186	-30.8613
8461.187	-30.812
8461.188	-30.835
8461.189	-30.9173
8461.190	-30.6935
8461.191	-30.6409
8461.192	-30.45
8461.193	-30.3085
8461.194	-30.2888
8461.195	-30.2855
8461.196	-30.4467
8461.197	-30.4105
8461.198	-30.5323
8461.199	-30.7067
8461.200	-30.8679
8461.201	-30.8712
8461.202	-30.9897
8461.203	-31.0522
8461.204	-31.0259
8461.205	-31.22
8461.206	-31.1542
8461.207	-30.8943
8461.208	-30.812
8461.209	-30.7166
8461.210	-30.6672
8461.211	-30.5389
8461.212	-30.529
8461.213	-30.552
8461.214	-30.4369
8461.215	-30.756
8461.216	-30.8515
8461.217	-31.0061
8461.218	-31.1049
8461.219	-31.3451
8461.220	-31.4833
8461.221	-31.4405
8461.222	-31.4668
8461.223	-31.4076
8461.224	-31.22
8461.225	-31.0818
8461.226	-30.7462
8461.227	-30.6902
8461.228	-30.6178
8461.229	-30.5849
8461.230	-30.6968
8461.231	-30.6672
8461.232	-30.7396
8461.233	-30.7462
8461.234	-30.7824
8461.235	-30.8383
8461.236	-31.0292
8461.237	-31.0621
8461.238	-31.1707
8461.239	-31.276
8461.240	-31.3319
8461.241	-31.3023
8461.242	-31.22
8461.243	-31.0292
8461.244	-30.8317
8461.245	-30.7988
8461.246	-30.8186
8461.247	-30.9107
8461.248	-30.914
8461.249	-30.9304
8461.250	-31.0687
8461.251	-31.1312
8461.252	-31.2365
8461.253	-31.5392
8461.254	-31.3286
8461.255	-31.5162
8461.256	-31.5754
8461.257	-31.4438
8461.258	-31.2562
8461.259	-31.1016
8461.260	-30.9831
8461.261	-30.9173
8461.262	-30.8482
8461.263	-30.812
8461.264	-30.5093
8461.265	-30.6573
8461.266	-30.7988
8461.267	-30.6409
8461.268	-30.7264
8461.269	-30.937
8461.270	-31.141
8461.271	-31.2924
8461.272	-31.4306
8461.273	-31.2694
8461.274	-31.3056
8461.275	-31.4504
8461.276	-31.4635
8461.277	-31.22
8461.278	-30.9996
8461.279	-30.9699
8461.280	-31.0127
8461.281	-30.9403
8461.282	-31.2167
8461.283	-31.22
8461.284	-31.2069
8461.285	-31.3615
8461.286	-31.6445
8461.287	-31.526
8461.288	-31.5063
8461.289	-31.503
8461.290	-31.3023
8461.291	-31.1707
8461.292	-31.1213
8461.293	-31.0357
8461.294	-30.9107
8461.295	-30.733
8461.296	-30.7857
8461.297	-30.6442
8461.298	-30.8581
8461.299	-31.0028
8461.300	-31.0325
8461.301	-31.016
8461.302	-31.0061
8461.303	-31.1213
8461.304	-31.1937
8461.305	-31.2332
8461.306	-31.299
8461.307	-30.8515
8461.308	-30.506
8461.309	-30.3678
8461.310	-30.2657
8461.311	-30.0749
8461.312	-30.0749
8461.313	-29.9499
8461.314	-29.8149
8461.315	-30.1999
8461.316	-30.4895
8461.317	-30.5849
8461.318	-30.7528
8461.319	-30.8975
8461.320	-31.0522
8461.321	-31.0226
8461.322	-31.2727
8461.323	-31.1838
8461.324	-30.9831
8461.325	-30.993
8461.326	-30.937
8461.327	-30.8087
8461.328	-30.6705
8461.329	-30.6672
8461.330	-30.4204
8461.331	-30.0091
8461.332	-30.3085
8461.333	-30.5389
8461.334	-30.5882
8461.335	-30.7955
8461.336	-30.9304
8461.337	-30.8877
8461.338	-30.9502
8461.339	-31.1937
8461.340	-30.9963
8461.341	-30.8087
8461.342	-30.6475
8461.343	-30.5981
8461.344	-30.5224
8461.345	-30.4072
8461.346	-30.3381
8461.347	-30.0354
8461.348	-30.167
8461.349	-30.3381
8461.350	-30.7199
8461.351	-30.9239
8461.352	-31.0226
8461.353	-31.1378
8461.354	-31.197
8461.355	-31.3549
8461.356	-31.276
8461.357	-30.9502
8461.358	-30.7758
8461.359	-30.812
8461.360	-30.6014
8461.361	-30.2723
8461.362	-30.1868
8461.363	-30.1473
8461.364	-30.0124
8461.365	-30.3349
8461.366	-30.4007
8461.367	-30.5257
8461.368	-30.7034
8461.369	-30.9699
8461.370	-30.993
8461.371	-30.8482
8461.372	-30.9732
8461.373	-30.891
8461.374	-30.9831
8461.375	-30.9008
8461.376	-30.7034
8461.377	-30.3316
8461.378	-30.1177
8461.379	-30.4138
8461.380	-30.144
8461.381	-30.0288
8461.382	-30.1966
8461.383	-30.2723
8461.384	-30.3184
8461.385	-30.4632
8461.386	-30.4961
8461.387	-30.5915
8461.388	-30.7133
8461.389	-30.427
8461.390	-30.2987
8461.391	-30.1473
8461.392	-30.2131
8461.393	-30.1736
8461.394	-30.1078
8461.395	-29.8544
8461.396	-29.8281
8461.397	-29.4957
8461.398	-29.6899
8461.399	-29.9597
8461.400	-30.404
8461.401	-30.4105
8461.402	-30.7166
8461.403	-30.8877
8461.404	-30.789
8461.405	-30.8548
8461.406	-30.8416
8461.407	-30.4698
8461.408	-30.167
8461.409	-30.2756
8461.410	-30.1078
8461.411	-30.2427
8461.412	-30.1736
8461.413	-30.0486
8461.414	-29.6866
8461.415	-29.8676
8461.416	-30.0453
8461.417	-29.8577
8461.418	-30.0782
8461.419	-30.3085
8461.420	-30.4467
8461.421	-30.348
8461.422	-30.5652
8461.423	-30.3678
8461.424	-30.4204
8461.425	-30.2954
8461.426	-30.223
8461.427	-30.0913
8461.428	-29.8906
8461.429	-29.8577
8461.430	-29.7919
8461.431	-29.5122
8461.432	-29.8149
8461.433	-29.9334
8461.434	-29.9564
8461.435	-30.2723
8461.436	-30.5652
8461.437	-30.3184
8461.438	-30.3052
8461.439	-30.2493
8461.440	-29.9268
8461.441	-29.782
8461.442	-29.8248
8461.443	-29.7952
8461.444	-29.5254
8461.445	-29.397
8461.446	-29.3411
8461.447	-29.3674
8461.448	-29.5484
8461.449	-29.7524
8461.450	-29.9235
8461.451	-30.1177
8461.452	-30.1341
8461.453	-30.3151
8461.454	-30.1769
8461.455	-30.325
8461.456	-30.4369
8461.457	-30.0222
8461.458	-29.838
8461.459	-29.9235
8461.460	-29.8446
8461.461	-29.861
8461.462	-29.9499
8461.463	-29.7096
8461.464	-29.4826
8461.465	-29.7722
8461.466	-29.9992
8461.467	-30.042
8461.468	-30.0519
8461.469	-30.246
8461.470	-30.4763
8461.471	-30.4994
