time3	em3
8606.378	-22.7105
8606.379	-23.0495
8606.380	-23.0495
8606.381	-23.0034
8606.382	-23.0824
8606.383	-23.1284
8606.384	-22.931
8606.385	-22.7303
8606.386	-22.6842
8606.387	-22.6842
8606.388	-22.5625
8606.389	-22.2795
8606.390	-22.3782
8606.391	-22.2466
8606.392	-22.2762
8606.393	-22.5427
8606.394	-22.6645
8606.395	-22.8126
8606.396	-23.0528
8606.397	-23.0988
8606.398	-23.0528
8606.399	-23.2601
8606.400	-23.1219
8606.401	-22.7862
8606.402	-22.8685
8606.403	-22.9935
8606.404	-23.0363
8606.405	-23.2568
8606.406	-23.3127
8606.407	-23.4081
8606.408	-23.3226
8606.409	-23.5858
8606.410	-23.6385
8606.411	-23.4542
8606.412	-23.5332
8606.413	-23.701
8606.414	-23.5826
8606.415	-23.8195
8606.416	-23.8721
8606.417	-23.7899
8606.418	-23.7866
8606.419	-23.6911
8606.420	-23.724
8606.421	-23.7306
8606.422	-23.6286
8606.423	-23.6385
8606.424	-23.7405
8606.425	-23.622
8606.426	-23.8491
8606.427	-24.142
8606.428	-24.2176
8606.429	-24.4282
8606.430	-24.7178
8606.431	-24.6586
8606.432	-24.7968
8606.433	-24.8593
8606.434	-24.7606
8606.435	-24.6915
8606.436	-24.6026
8606.437	-24.4282
8606.438	-24.0761
8606.439	-23.7899
8606.440	-23.9346
8606.441	-23.8261
8606.442	-23.6879
8606.443	-24.0202
8606.444	-24.392
8606.445	-24.448
8606.446	-24.7178
8606.447	-25.06
8606.448	-25.1917
8606.449	-25.6326
8606.450	-25.7741
8606.451	-25.5503
8606.452	-25.6063
8606.453	-25.5273
8606.454	-25.399
8606.455	-25.0896
8606.456	-24.8461
8606.457	-24.8692
8606.458	-24.6191
8606.459	-24.8034
8606.460	-24.8494
8606.461	-24.9942
8606.462	-25.0765
8606.463	-25.3167
8606.464	-25.3364
8606.465	-25.3035
8606.466	-25.1884
8606.467	-25.0929
8606.468	-24.7705
8606.469	-24.5697
8606.470	-24.6652
8606.471	-24.6323
8606.472	-24.7968
8606.473	-24.7639
8606.474	-24.8725
8606.475	-24.7606
8606.476	-25.0041
8606.477	-25.3134
8606.478	-25.7609
8606.479	-25.8827
8606.480	-25.9485
8606.481	-25.9649
8606.482	-25.9518
8606.483	-26.1064
8606.484	-26.0472
8606.485	-26.0275
8606.486	-25.9913
8606.487	-25.9847
8606.488	-25.9913
8606.489	-25.9287
8606.490	-25.9518
8606.491	-25.7642
8606.492	-25.7379
8606.493	-25.9584
8606.494	-26.192
8606.495	-26.3434
8606.496	-26.6165
8606.497	-26.9653
8606.498	-27.0903
8606.499	-26.8731
8606.500	-26.804
8606.501	-26.4618
8606.502	-26.1986
8606.503	-26.169
8606.504	-26.3039
8606.505	-26.1657
8606.506	-25.9584
8606.507	-25.909
8606.508	-25.7741
8606.509	-25.9913
8606.510	-26.2348
8606.511	-26.6231
8606.512	-26.8534
8606.513	-27.064
8606.514	-27.2154
8606.515	-27.3503
8606.516	-27.449
8606.517	-27.5214
8606.518	-27.2549
8606.519	-27.2121
8606.520	-26.9324
8606.521	-26.8139
8606.522	-26.7843
8606.523	-26.8633
8606.524	-26.8106
8606.525	-26.5605
8606.526	-27.0212
8606.527	-27.2976
8606.528	-27.449
8606.529	-27.6728
8606.530	-27.8603
8606.531	-27.9919
8606.532	-28.2058
8606.533	-28.0874
8606.534	-27.8143
8606.535	-27.5016
8606.536	-27.5905
8606.537	-27.5773
8606.538	-27.6399
8606.539	-27.6596
8606.540	-27.857
8606.541	-27.9327
8606.542	-27.7781
8606.543	-27.8801
8606.544	-27.9821
8606.545	-27.9064
8606.546	-28.0281
8606.547	-28.2091
8606.548	-28.0545
8606.549	-28.0874
8606.550	-28.2848
8606.551	-28.3835
8606.552	-28.5546
8606.553	-28.5941
8606.554	-28.4987
8606.555	-28.3407
8606.556	-28.321
8606.557	-28.2223
8606.558	-28.3473
8606.559	-28.4724
8606.560	-28.5941
8606.561	-28.6139
8606.562	-28.7323
8606.563	-28.8146
8606.564	-28.7652
8606.565	-28.729
8606.566	-28.8047
8606.567	-28.6665
8606.568	-28.7126
8606.569	-28.7126
8606.570	-28.683
8606.571	-28.8475
8606.572	-28.8146
8606.573	-28.7159
8606.574	-28.7323
8606.575	-28.3111
8606.576	-28.4691
8606.577	-28.5546
8606.578	-28.7192
8606.579	-28.9758
8606.580	-29.3115
8606.581	-29.6471
8606.582	-29.6833
8606.583	-29.7228
8606.584	-29.6833
8606.585	-29.4859
8606.586	-29.578
8606.587	-29.3279
8606.588	-29.2555
8606.589	-29.0482
8606.590	-29.0318
8606.591	-28.8245
8606.592	-28.9265
8606.593	-29.1469
8606.594	-29.2029
8606.595	-29.2062
8606.596	-29.3246
8606.597	-29.4497
8606.598	-29.3444
8606.599	-29.4201
8606.600	-29.5813
8606.601	-29.4464
8606.602	-29.4069
8606.603	-29.4135
8606.604	-29.4266
8606.605	-29.272
8606.606	-29.2226
8606.607	-29.1601
8606.608	-28.9989
8606.609	-29.0581
8606.610	-29.0022
8606.611	-29.3246
8606.612	-29.4497
8606.613	-29.6734
8606.614	-29.8314
8606.615	-29.5978
8606.616	-29.7919
8606.617	-29.7557
8606.618	-29.5155
8606.619	-29.6405
8606.620	-29.4563
8606.621	-29.2884
8606.622	-29.1535
8606.623	-29.0844
8606.624	-28.9857
8606.625	-28.8179
8606.626	-29.091
8606.627	-29.2917
8606.628	-29.4135
8606.629	-29.7031
8606.630	-30.0321
8606.631	-30.1868
8606.632	-30.2394
8606.633	-30.3579
8606.634	-30.2131
8606.635	-29.9137
8606.636	-29.8775
8606.637	-29.8807
8606.638	-29.9499
8606.639	-29.7689
8606.640	-29.68
8606.641	-29.601
8606.642	-29.8018
8606.643	-29.9597
8606.644	-30.042
8606.645	-30.1637
8606.646	-30.0716
8606.647	-30.4467
8606.648	-30.4994
8606.649	-30.529
8606.650	-30.5158
8606.651	-30.3776
8606.652	-30.2592
8606.653	-30.121
8606.654	-29.9926
8606.655	-29.9696
8606.656	-29.7919
8606.657	-29.8643
8606.658	-29.7063
8606.659	-29.9828
8606.660	-30.2032
8606.661	-30.3349
8606.662	-30.5093
8606.663	-30.6014
8606.664	-30.6409
8606.665	-30.3546
8606.666	-30.4467
8606.667	-30.2328
8606.668	-30.0222
8606.669	-29.9235
8606.670	-30.0091
8606.671	-29.7327
8606.672	-29.8149
8606.673	-29.8018
8606.674	-29.7294
8606.675	-29.6998
8606.676	-30.0815
8606.677	-30.1078
8606.678	-30.2789
8606.679	-30.3809
8606.680	-30.5849
8606.681	-30.7659
8606.682	-30.6837
8606.683	-30.6639
8606.684	-30.6442
8606.685	-30.6211
8606.686	-30.5784
8606.687	-30.2592
8606.688	-30.121
8606.689	-29.9169
8606.690	-30.0848
8606.691	-29.7919
8606.692	-29.759
8606.693	-29.9663
8606.694	-30.0255
8606.695	-30.1539
8606.696	-30.1407
8606.697	-30.3776
8606.698	-30.3349
8606.699	-30.5784
8606.700	-30.6935
8606.701	-30.4895
8606.702	-30.4928
8606.703	-30.5816
8606.704	-30.5027
8606.705	-30.4862
8606.706	-30.4632
8606.707	-30.4533
8606.708	-30.246
8606.709	-30.3974
8606.710	-30.5981
8606.711	-30.4895
8606.712	-30.5751
8606.713	-30.6705
8606.714	-30.9074
8606.715	-30.8186
8606.716	-30.8449
8606.717	-30.6507
8606.718	-30.4105
8606.719	-30.3678
8606.720	-30.4171
8606.721	-30.1144
8606.722	-29.9531
8606.723	-29.9334
8606.724	-29.7952
8606.725	-29.5879
8606.726	-29.9038
8606.727	-30.0354
8606.728	-30.269
8606.729	-30.2394
8606.730	-30.4698
8606.731	-30.5619
8606.732	-30.5751
8606.733	-30.6178
8606.734	-30.371
8606.735	-30.246
8606.736	-30.3414
8606.737	-30.3184
8606.738	-30.4138
8606.739	-30.1802
8606.740	-30.2296
8606.741	-29.9597
8606.742	-29.8511
8606.743	-30.0058
8606.744	-30.1275
8606.745	-30.0946
8606.746	-30.1407
8606.747	-30.3743
8606.748	-30.5751
8606.749	-30.7758
8606.750	-30.6672
8606.751	-30.4961
8606.752	-30.5356
8606.753	-30.4434
8606.754	-30.3052
8606.755	-30.3612
8606.756	-30.371
8606.757	-30.506
8606.758	-30.2756
8606.759	-30.246
8606.760	-30.45
8606.761	-30.4928
8606.762	-30.529
8606.763	-30.7034
8606.764	-30.8021
8606.765	-30.5784
8606.766	-30.8449
8606.767	-30.654
8606.768	-30.4237
8606.769	-30.2723
8606.770	-30.1407
8606.771	-30.144
8606.772	-30.2197
8606.773	-30.2394
8606.774	-30.1275
8606.775	-30.0979
8606.776	-30.4072
8606.777	-30.5784
8606.778	-30.7922
8606.779	-30.7429
8606.780	-30.7363
8606.781	-30.9272
8606.782	-30.9436
8606.783	-30.7988
8606.784	-30.6804
8606.785	-30.552
8606.786	-30.4402
8606.787	-30.2987
8606.788	-30.0453
8606.789	-29.9663
8606.790	-29.9433
8606.791	-29.8182
8606.792	-29.7261
8606.793	-29.8544
8606.794	-29.9367
8606.795	-29.9762
8606.796	-30.1637
8606.797	-30.4434
8606.798	-30.5356
8606.799	-30.6935
8606.800	-30.6211
8606.801	-30.3085
8606.802	-30.1506
8606.803	-29.9893
8606.804	-29.884
8606.805	-29.7985
8606.806	-29.7425
8606.807	-29.7458
8606.808	-29.6833
8606.809	-29.9367
8606.810	-30.1341
8606.811	-30.167
8606.812	-30.246
8606.813	-30.4105
8606.814	-30.5849
8606.815	-30.4763
8606.816	-30.5356
8606.817	-30.269
8606.818	-30.0782
8606.819	-30.0222
8606.820	-30.0749
8606.821	-30.0584
8606.822	-30.0222
8606.823	-30.0913
8606.824	-29.9893
8606.825	-29.7524
8606.826	-29.9433
8606.827	-29.9729
8606.828	-30.0815
8606.829	-30.144
8606.830	-30.2921
8606.831	-30.3743
8606.832	-30.2987
8606.833	-30.3151
8606.834	-30.3381
8606.835	-30.1539
8606.836	-30.0255
8606.837	-30.1012
8606.838	-29.8906
8606.839	-29.8215
8606.840	-29.9828
8606.841	-29.9367
8606.842	-29.8018
8606.843	-29.6504
8606.844	-29.8446
8606.845	-29.9663
8606.846	-30.3019
8606.847	-30.4665
8606.848	-30.4402
8606.849	-30.5553
8606.850	-30.4698
8606.851	-30.0815
8606.852	-29.9005
8606.853	-29.782
8606.854	-29.7722
8606.855	-29.6636
8606.856	-29.7261
8606.857	-29.5418
8606.858	-29.3575
8606.859	-29.5089
8606.860	-29.5649
8606.861	-29.3872
8606.862	-29.3872
8606.863	-29.7228
8606.864	-29.7754
8606.865	-29.6965
8606.866	-29.8018
8606.867	-29.6603
8606.868	-29.4826
8606.869	-29.2588
8606.870	-29.17
8606.871	-29.0153
8606.872	-28.9824
8606.873	-28.9824
8606.874	-28.8738
8606.875	-28.7817
8606.876	-29.0877
8606.877	-29.4201
8606.878	-29.3707
8606.879	-29.7491
8606.880	-29.9038
8606.881	-30.0288
8606.882	-30.2657
8606.883	-30.1769
8606.884	-29.8215
8606.885	-29.6899
8606.886	-29.8248
8606.887	-29.7327
8606.888	-29.5418
8606.889	-29.4497
8606.890	-29.4135
8606.891	-29.2128
8606.892	-29.0449
8606.893	-29.1371
8606.894	-29.0614
8606.895	-29.2687
8606.896	-29.2654
8606.897	-29.3115
8606.898	-29.2358
8606.899	-29.1799
8606.900	-29.2917
8606.901	-29.1766
8606.902	-29.2555
8606.903	-29.295
8606.904	-29.1864
8606.905	-29.1601
8606.906	-29.1831
8606.907	-29.2292
8606.908	-29.068
8606.909	-29.3839
8606.910	-29.4168
8606.911	-29.5747
8606.912	-29.5978
8606.913	-29.6833
8606.914	-29.7787
8606.915	-29.7063
8606.916	-29.8051
8606.917	-29.759
8606.918	-29.6899
8606.919	-29.6307
8606.920	-29.5517
8606.921	-29.634
8606.922	-29.5056
8606.923	-29.4102
8606.924	-29.1469
8606.925	-28.9396
8606.926	-29.0811
8606.927	-29.0153
8606.928	-28.9429
8606.929	-29.0351
8606.930	-29.2292
8606.931	-29.1667
8606.932	-29.4201
8606.933	-29.2062
8606.934	-29.0318
8606.935	-28.8343
8606.936	-28.7916
8606.937	-28.6402
8606.938	-28.423
8606.939	-28.1499
8606.940	-28.3868
8606.941	-28.3177
8606.942	-28.3342
8606.943	-28.4822
8606.944	-28.5283
8606.945	-28.7257
8606.946	-29.0844
8606.947	-29.2621
8606.948	-29.3444
8606.949	-29.5385
8606.950	-29.3707
8606.951	-29.0976
8606.952	-28.8179
8606.953	-28.8541
8606.954	-28.8245
8606.955	-28.6435
8606.956	-28.4625
8606.957	-28.3934
8606.958	-28.0281
8606.959	-28.1203
8606.960	-28.2519
8606.961	-28.4164
8606.962	-28.5283
8606.963	-28.581
8606.964	-28.8508
8606.965	-28.9627
8606.966	-29.068
8606.967	-28.8442
8606.968	-28.6797
8606.969	-28.6863
8606.970	-28.8508
8606.971	-28.7257
8606.972	-28.5645
8606.973	-28.581
8606.974	-28.4658
8606.975	-28.1334
8606.976	-28.1927
8606.977	-28.3506
8606.978	-28.2651
8606.979	-28.3934
8606.980	-28.5974
8606.981	-28.8047
8606.982	-28.8014
8606.983	-28.6961
8606.984	-28.5645
